Nombre,Precio,CantidadEnStock
Producto 1,95.06,10
Producto 2,64.63,42
Producto 3,92.11,51
Producto 4,88.92,36
Producto 5,49.9,48
Producto 6,88.36,61
Producto 7,40.48,11
Producto 8,32.55,31
Producto 9,12.08,20
Producto 10,14.95,96
Producto 11,81.02,17
Producto 12,56.65,44
Producto 13,87.66,64
Producto 14,38.77,87
Producto 15,20.62,7
Producto 16,32.28,11
Producto 17,73.69,57
Producto 18,57.69,14
Producto 19,92.33,82
Producto 20,32.43,7
Producto 21,30.17,22
Producto 22,61.59,23
Producto 23,72.34,36
Producto 24,99.19,1
Producto 25,85.1,63
Producto 26,77.88,96
Producto 27,11.19,76
Producto 28,30.43,6
Producto 29,77.22,83
Producto 30,91.15,3
Producto 31,42.17,94
Producto 32,58.16,82
Producto 33,44.94,70
Producto 34,77.44,69
Producto 35,72.58,58
Producto 36,89.55,17
Producto 37,43.26,83
Producto 38,46.6,66
Producto 39,93.82,98
Producto 40,59.48,30
Producto 41,84.65,3
Producto 42,61.3,66
Producto 43,91.56,8
Producto 44,54.3,41
Producto 45,67.48,85
Producto 46,60.81,1
Producto 47,96.08,92
Producto 48,97.78,58
Producto 49,17.33,99
Producto 50,15.74,24
Producto 51,29.95,4
Producto 52,86.6,82
Producto 53,84.02,64
Producto 54,69.94,48
Producto 55,90.59,63
Producto 56,32.87,81
Producto 57,69.56,65
Producto 58,11.46,18
Producto 59,35.9,63
Producto 60,85.01,64
Producto 61,47.24,32
Producto 62,79.91,45
Producto 63,17.54,27
Producto 64,49.6,70
Producto 65,63.11,34
Producto 66,93.59,28
Producto 67,58.01,29
Producto 68,95.22,29
Producto 69,34.02,80
Producto 70,73.94,8
Producto 71,46.51,27
Producto 72,24.04,47
Producto 73,90.6,37
Producto 74,26.05,13
Producto 75,36.89,35
Producto 76,65.84,49
Producto 77,76.13,6
Producto 78,87.4,82
Producto 79,83.68,97
Producto 80,54.88,69
Producto 81,41.97,95
Producto 82,12,43
Producto 83,32.71,65
Producto 84,61.45,12
Producto 85,63.37,45
Producto 86,66.77,75
Producto 87,84.42,99
Producto 88,11.35,13
Producto 89,54.88,43
Producto 90,51.01,80
Producto 91,88.82,9
Producto 92,63.9,66
Producto 93,20.33,47
Producto 94,10.07,7
Producto 95,82.82,90
